Identification.Model Year,Fuel Information.Highway mpg,Engine Information.Engine Statistics.Horsepower
2009 Audi A3,25,250
2009 Audi A3,28,200
2009 Audi A3,30,200
2009 Audi A3,28,200
2009 Audi A3,28,200
2009 Audi A5,27,265
2009 Audi A5,26,265
2009 Audi Q7,18,350
2009 Audi Q7,20,280
2009 Audi A4 Sedan,30,211
2009 Audi A4 Sedan,27,211
2009 Audi A4 Sedan,26,265
2012 Acura TL,29,280
2012 Acura TL,26,305
2010 BMW X5,17,555
2011 BMW X5,17,555
2010 BMW X6,17,555
2011 BMW X6,17,555
2012 Chevrolet Colorado,25,185
2012 Chevrolet Colorado,25,185
2012 Chevrolet Colorado,25,185
2011 Chevrolet Colorado,25,185
2011 Chevrolet Colorado,25,185
2011 Chevrolet Colorado,25,185
2010 Chevrolet Colorado,25,185
2010 Chevrolet Colorado,26,185
2010 Chevrolet Colorado,25,185
2012 Chevrolet Express,18,310
2012 Chevrolet Express,12,310
2011 Chevrolet Express,17,310
2011 Chevrolet Express,17,310
2011 Chevrolet Express,12,280
2011 Chevrolet Express,12,324
2010 Chevrolet Express,13,310
2010 Chevrolet Express,17,310
2011 Chevrolet Silverado 1500,20,195
2011 Chevrolet Silverado 1500,19,302
2011 Chevrolet Silverado 1500,20,195
2010 Chevrolet Silverado 1500,20,195
2010 Chevrolet Silverado 1500,20,195
2010 Chevrolet Silverado 1500,19,302
2011 Nissan 370Z Coupe,26,350
2010 Nissan 370Z Coupe,26,350
2009 Nissan 370Z Coupe,26,350
2011 Volvo C30,29,227
2011 Volvo C30,30,227
2010 Volvo C30,30,227
2010 Volvo C30,29,227
2010 Bentley Brooklands,15,530
2012 Bentley Continental Supersports Convertible,14,621
2012 Bentley Continental Supersports Coupe,14,621
2011 Bentley Continental Supersports Convertible,14,621
2010 Bentley Continental Supersports,19,621
2012 Bentley Continental Flying Spur,13,552
2012 Bentley Continental Flying Spur,19,600
2011 Bentley Continental Flying Spur,17,600
2010 Bentley Continental Flying Spur,17,600
2010 Bentley Continental Flying Spur,17,552
2011 Volvo C70,28,227
2010 Volvo C70,28,227
2010 Volvo C70,28,227
2010 Volvo S40,29,168
2010 Volvo S40,30,227
2011 Volvo S40,30,227
2010 Volvo S40,27,227
2012 Volvo S60,30,250
2012 Volvo S60,26,300
2012 Volvo S60,26,325
2011 Volvo S60,26,300
2011 Volvo S80,27,240
2010 Volvo S80,22,311
2010 Volvo S80,24,281
2010 Volvo S80,27,235
2011 Volvo V50,30,227
2010 Volvo V50,26,227
2010 Volvo V50,31,168
2011 Volvo XC60,22,300
2011 Volvo XC60,25,240
2010 Volvo XC60,21,281
2010 Volvo XC60,27,235
2011 Volvo XC70,25,240
2011 Volvo XC70,22,300
2010 Volvo XC70,21,281
2010 Volvo XC70,22,235
2011 Toyota 4Runner,23,270
2011 Toyota 4Runner,22,270
2011 Toyota 4Runner,22,270
2011 Toyota 4Runner,23,270
2011 Toyota 4Runner,22,270
2011 Volvo XC90,22,240
2011 Volvo XC90,21,311
2010 Volvo XC90,22,235
2010 Volvo XC90,19,311
2010 Volvo V70,27,235
2010 Toyota 4Runner,23,157
2010 Toyota 4Runner,23,270
2010 Toyota 4Runner,22,270
2010 Toyota 4Runner,22,270
2010 Toyota 4Runner,23,270
2010 Toyota 4Runner,22,270
2012 Audi A3,30,200
2010 Honda Accord Coupe,25,271
2010 Honda Accord Coupe,31,190
2010 Honda Accord Coupe,31,190
2010 Honda Accord Coupe,31,190
2010 Honda Accord Coupe,28,271
2010 Honda Accord Coupe,31,190
2010 Honda Accord Coupe,31,190
2010 Honda Accord Coupe,31,190
2011 Nissan 370Z Roadster,25,332
2011 Nissan 370Z Roadster,25,332
2011 Nissan 370Z Roadster,25,332
2011 Nissan 370Z Roadster,25,332
2010 Nissan 370Z Roadster,25,332
2010 Nissan 370Z Roadster,25,332
2010 Nissan 370Z Roadster,25,332
2010 Nissan 370Z Roadster,25,332
2011 Audi A3,30,200
2011 Nissan 370Z Coupe,26,332
2011 Nissan 370Z Coupe,26,332
2011 Nissan 370Z Coupe,26,332
2011 Nissan 370Z Coupe,26,332
2010 Audi A3,30,200
2010 Nissan 370Z Coupe,26,332
2010 Nissan 370Z Coupe,26,332
2010 Nissan 370Z Coupe,26,332
2010 Nissan 370Z Coupe,26,332
2012 Audi A4 Sedan,31,211
2012 Audi A4 Sedan,29,211
2011 Audi A4 Sedan,31,211
2011 Audi A4 Sedan,29,211
2012 Ford Fiesta Sedan,38,120
2012 Ford Fiesta Sedan,38,120
2012 Ford Fiesta Sedan,38,120
2011 Ford Fiesta Sedan,37,120
2011 Ford Fiesta Sedan,37,120
2011 Ford Fiesta Sedan,37,120
2011 Volvo C30,30,227
2011 Volvo C30,29,227
2010 Volvo C30,30,227
2010 Volvo C30,29,227
2010 Audi A4 Sedan,27,211
2010 Audi A4 Sedan,30,211
2010 Volvo S40,29,168
2010 Volvo S40,27,227
2012 Audi A4 Avant,29,211
2011 Audi A4 Avant,29,211
2010 Audi A4 Avant,30,211
2011 Honda Accord Coup,32,190
2011 Honda Accord Coup,33,190
2011 Honda Accord Coup,26,271
2011 Honda Accord Coup,32,190
2011 Honda Accord Coup,29,271
2011 Honda Accord Coup,33,190
2011 Honda Accord Coup,33,190
2012 Ford Fiesta Hatchback,38,120
2012 Ford Fiesta Hatchback,38,120
2011 Ford Fiesta Hatchback,37,120
2011 Ford Fiesta Hatchback,37,120
2010 Honda Accord Sedan,31,177
2010 Honda Accord Sedan,31,177
2010 Honda Accord Sedan,31,177
2010 Honda Accord Sedan,31,177
2010 Honda Accord Sedan,31,190
2010 Honda Accord Sedan,31,190
2010 Honda Accord Sedan,31,190
2010 Honda Accord Sedan,31,190
2010 Honda Accord Sedan,29,271
2011 Toyota Avalon,29,268
2011 Toyota Avalon,29,268
2009 Nissan 370Z Coupe,26,332
2009 Nissan 370Z Coupe,26,332
2009 Nissan 370Z Coupe,26,332
